[00:00|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:00|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:00|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:00|    INFO|  Cc__Supper.py: 91] 
[00:01|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:01|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:01|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:01|    INFO|  Cc__Supper.py: 91] 
[00:01|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:01|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:01|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:01|    INFO|  Cc__Supper.py: 91] 
[00:18|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:18|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:18|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:18|    INFO|  Cc__Supper.py: 91] 
[00:20|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:20|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:20|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:20|    INFO|  Cc__Supper.py: 91] 
[00:22|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:22|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:22|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:22|    INFO|  Cc__Supper.py: 91] gunzip ./uploaded_tar_file/CcMega.db.gz 
[00:23|    INFO|  Cc__Supper.py: 82] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[00:23|    INFO|  Cc__Supper.py: 83]  ♨. 파일 Cc__db/CcMega 을 압축                                                                                      
[00:23|    INFO|  Cc__Supper.py: 84] ────────────────────────────────────────────────────────────────
[00:23|    INFO|  Cc__Supper.py: 91] gunzip ./uploaded_gz_file/CcMega.db.gz 
